"id_producto","nombre","categoria","precio","costo","stock","proveedor","fecha_ingreso","activo","rating"
"1","Casa Encuentra","Libros","120.22","372.07","125","Farmaceútica Lobato & Asociados S.C.P","2024-01-20","True","1.6"
"2","Civil Animales","Electrónicos","679.93","446.63","44","Suministros Morán & Asociados S.L.N.E","2025-09-12","False","1.1"
"3","Ministro Ir","Electrónicos","226.45","255.15","13","Compañía Valera y asociados S.Coop.","2024-05-21","True","3.9"
"4","Alguien Buen","Libros","549.49","114.12","301","Aznar y Valentín S.L.","2025-05-01","False","4.2"
"5","Alguna Debía","Electrónicos","761.22","84.03","216","Dorita Mancebo Iglesias S.A.","2024-10-15","False","2.1"
"6","Llegar Da","Hogar","957.64","171.61","47","Banca Privada Internacionales S.L.","2024-09-15","False","1.4"
"7","Estuvo Acto","Deportes","607.69","404.53","373","Restauración Peralta & Asociados S.Coop.","2024-02-14","False","3.1"
"8","Pasa Realizar","Moda","88.01","150.12","321","Maristela Coronado Roda S.L.","2023-11-12","False","3.3"
"9","Económica Rosa","Libros","78.86","332.33","395","Carvajal & Asociados S.L.","2024-02-23","False","4.9"
"10","Primera Dijo","Hogar","867.82","193.16","232","Grupo Teruel S.Coop.","2025-06-26","False","1.7"
"11","Tales Primeras","Deportes","217.41","137.15","479","Farmaceútica Aguirre & Asociados S.C.P","2024-04-07","True","3.4"
"12","Real Actitud","Hogar","538.8","126.18","236","Grupo Santos S.L.L.","2024-02-20","False","2.1"
"13","Grado Muchas","Libros","691.28","113.71","166","Comercializadora Goicoechea & Asociados S.Com.","2025-09-16","True","1.9"
"14","Nuevas Iglesia","Electrónicos","807.0","203.58","33","Banca Privada URK S.A.","2025-06-11","True","4.7"
"15","Son Unas","Juguetes","877.6","160.77","335","Farmaceútica Raya S.L.N.E","2024-11-26","False","2.6"
"16","Concepto Mundial","Libros","464.26","136.12","126","Martí y Paredes S.A.","2025-02-04","False","4.0"
